frame	complex	receptor	ligand	dG
168	-22861.795856880002	-5922.02639776	-16858.76924216	-81.00021696000113
169	-22801.871752479998	-5954.150543919999	-16780.250305920003	-67.47090263999416
170	-22885.125639759997	-5958.67422032	-16844.287502080002	-82.16391735999423
171	-22848.525446879998	-5931.71761864	-16829.670661279997	-87.1371669600012
172	-22835.21039656	-5979.75343368	-16780.40696392	-75.049998960003
173	-22864.594386400004	-5967.865833919999	-16822.75149944	-73.97705304000192
174	-22736.720765440004	-5939.33390656	-16735.39606008	-61.990798800004995
175	-22888.9223816	-5975.85158304	-16833.20027344	-79.87052512000082
176	-22837.023940560004	-5932.90262824	-16818.75610568	-85.36520664000273
177	-22810.591319920004	-5954.8145468	-16770.753286	-85.02348712000457
178	-22855.00972088	-5966.812700559999	-16817.11077632	-71.08624399999826
179	-22882.40190104	-5937.725151760001	-16865.18778272	-79.48896655999852
180	-22717.04472352	-5898.40054408	-16753.66609336	-64.97808608000196
181	-22764.121157280002	-5931.40009448	-16763.427165920002	-69.29389688000083
182	-22858.965144479997	-5935.076365360001	-16845.91225232	-77.97652679999737
183	-22803.453557440003	-5930.72388288	-16789.28473944	-83.4449351200019
184	-22798.99090968	-5949.969174960001	-16772.974247759998	-76.04748696000388
185	-22884.33786248	-5951.45694336	-16851.94590576	-80.93501335999827
186	-22926.516692319998	-5949.07601744	-16898.01866	-79.4220148799941
187	-22883.220416879998	-5923.45000984	-16875.6229144	-84.14749264000056
188	-22915.54400592	-5948.853440479999	-16897.765753760003	-68.92481168000086
189	-22759.756745440005	-5940.82688656	-16746.31703472	-72.6128241600054
190	-22826.69381616	-5931.0228204800005	-16812.497640479996	-83.17335520000415
191	-22867.432211839998	-5957.7764408	-16830.00777208	-79.6479989599975
192	-22849.499549199994	-5942.03965352	-16826.131123440002	-81.32877223999458
193	-22802.5427184	-5957.10351384	-16762.8641744	-82.57503015999828
194	-22871.97000824	-5950.50720032	-16840.64375112	-80.81905680000273
195	-22871.15276032	-5969.89424872	-16825.35165208	-75.90685952000058
196	-22882.37576272	-5962.89535128	-16845.545214880003	-73.93519655999626
197	-22950.832525359998	-5977.657532800001	-16898.70152864	-74.47346391999963
198	-22913.5069572	-5968.67806752	-16868.18363168	-76.64525800000047
199	-22951.138029439997	-5986.69517632	-16884.496328080004	-79.94652503999168
200	-22846.13168216	-5947.696315599999	-16820.114606559997	-78.32076000000598
201	-22880.99283016	-5960.12426208	-16849.77854976	-71.09001831999922
202	-22837.609834880004	-5952.513827520001	-16808.33348056	-76.76252680000471
203	-22874.16101448	-5946.60808824	-16852.9290868	-74.62383944000248
204	-22909.43205208	-5952.073578240001	-16881.6642192	-75.69425463999869
205	-22878.356742719996	-5963.10209464	-16833.05522376	-82.19942431999516
206	-22930.619857600002	-5952.59570296	-16903.41210488	-74.61204976000226
207	-22861.708632719998	-5977.915287599999	-16807.750958400004	-76.04238671999701
208	-22901.57193032	-5955.742541680001	-16864.027078400002	-81.80231023999659
209	-22806.004552320002	-5945.52553208	-16775.85284088	-84.62617936000242
210	-22789.09732368	-5960.97868392	-16759.27367944	-68.84496031999879
211	-22831.75928224	-5938.43522656	-16818.12487584	-75.1991798400013
212	-22834.777881520004	-5947.75986296	-16813.70732248	-73.31069608000325
213	-22757.718549200003	-5943.12017808	-16728.571460239997	-86.02691088000574
214	-22858.45716064	-5945.6931148799995	-16828.729765520002	-84.03428023999732
215	-22862.52394008	-5925.10944008	-16865.90520056	-71.50929944000018
216	-22901.258450240002	-5925.6687795200005	-16904.458681679997	-71.13098904000435
217	-22880.761168	-5956.44754856	-16851.699708400003	-72.61391103999631
218	-22879.912867040002	-5946.49965576	-16855.12236808	-78.29084320000402
219	-22790.58137896	-5935.240361360001	-16776.2010884	-79.13992919999873
220	-22909.872025279998	-5942.666616959999	-16892.5265404	-74.6788679199999
221	-22761.57252216	-5920.124580160001	-16759.555783840002	-81.89215815999705
222	-22841.67533072	-5922.29415536	-16846.77644792	-72.60472744000072
223	-22885.23157224	-5957.933676400001	-16849.684840799997	-77.61305504000484
224	-22795.47149256	-5953.610468320001	-16773.5661692	-68.29485503999604
225	-22804.92764304	-5928.724922880001	-16797.37981328	-78.82290687999921
226	-22768.70526208	-5948.127211360001	-16736.02550168	-84.55254903999594
227	-22788.88545864	-5921.626934559999	-16792.98497752	-74.27354656000534
228	-22740.269676	-5926.13463136	-16737.41599144	-76.7190531999986
229	-22816.61104048	-5932.754140959999	-16807.06193064	-76.79496887999994
230	-22880.4805112	-5954.26232584	-16855.230157840004	-70.98802751999392
231	-22829.6754948	-5951.241554880001	-16802.947836720003	-75.48610319999716
232	-22812.44219944	-5940.94287408	-16790.059163840004	-81.44016151999676
233	-22803.953046559996	-5939.728376	-16789.646683919997	-74.57798664000074
234	-22892.945424160003	-5963.27927056	-16850.994395439997	-78.671758160006
235	-22799.0828412	-5945.792488800001	-16779.797019200003	-73.49333319999641
236	-22834.878549039997	-5932.1105652	-16824.53543496	-78.23254887999792
237	-22791.4088312	-5923.36153224	-16791.31668592	-76.7306130399993
238	-22845.580536079997	-5941.413221520001	-16832.69812232	-71.46919223999794
239	-22774.7659404	-5928.1555748	-16776.34695136	-70.26341424000202
240	-22861.94818384	-5940.856801919999	-16839.36364208	-81.72773984000014
241	-22918.37589544	-5944.67407352	-16892.855710159998	-80.8461117600018
242	-22853.45731984	-5955.21098576	-16822.207742799998	-76.03859128000113
243	-22789.294926399998	-5961.17698784	-16751.7208048	-76.39713375999781
244	-22814.41526784	-5941.628962	-16799.7117712	-73.07453463999991
245	-22825.456171359998	-5949.15210552	-16797.5475524	-78.75651343999925
246	-22805.09731176	-5968.64168104	-16758.79647272	-77.65915799999857
247	-22883.8303276	-5956.46506776	-16860.02939904	-67.33586080000168
248	-22817.057976879998	-5942.071903599999	-16795.00086616	-79.98520712000027
249	-22857.762882159997	-5971.404301840001	-16811.410682160003	-74.9478981599932
250	-22874.71650488	-5952.36258352	-16850.167364959998	-72.18655640000361
251	-22789.934084160002	-5921.218301439999	-16791.192637919998	-77.52314480000496
252	-22886.1412796	-5961.013864320001	-16851.22370944	-73.90370583999902
253	-22787.50486952	-5940.41317576	-16772.18088784	-74.91080591999707
254	-22778.104058560002	-5945.4736644800005	-16759.177752720003	-73.45264135999969
255	-22912.430399279998	-5957.89244776	-16871.9055584	-82.63239311999496
256	-22866.364826	-5957.27789952	-16834.91051544	-74.17641104000359
257	-22823.916644720004	-5950.233877279999	-16796.370838799998	-77.31192864000695
258	-22850.09887976	-5930.3203036800005	-16845.08174656	-74.69682951999857
259	-22861.65968872	-5954.6769128000005	-16835.014972	-71.9678039199971
260	-22817.169768080003	-5954.42718152	-16800.91913624	-61.82345032000012
261	-22795.0735432	-5939.235129920001	-16785.75421888	-70.08419439999852
262	-22828.23484392	-5980.367346	-16783.75632104	-64.11117688000013
263	-22833.64118304	-5956.31867328	-16810.683583600003	-66.63892615999794
264	-22790.651339359996	-5932.410653680001	-16792.71891496	-65.52177071999176
265	-22834.959776239997	-5981.4359251999995	-16781.78270872	-71.7411423199992
266	-22855.170779360004	-5983.18882032	-16805.18557664	-66.7963824000035
267	-22810.25308296	-5927.23902704	-16813.9911124	-69.02294352000172
268	-22803.58006832	-5953.41508944	-16778.491103120003	-71.67387575999601
269	-22860.9164876	-5962.67757688	-16837.515250880002	-60.72365983999771
270	-22863.620117680002	-5943.87327072	-16853.83514144	-65.91170552000403
271	-22901.73144464	-5962.990722959999	-16862.09398088	-76.64674080000259
272	-22837.34975672	-5940.0180488000005	-16825.42298528	-71.908722639997
273	-22871.16639608	-5980.3731099199995	-16827.39955472	-63.3937314399991
274	-22954.34077088	-5969.42395112	-16910.349148240002	-74.56767151999884
